Height,Air Temperature [K],w,U_m_s,V_m_s
19050,225.45,0.07780089946,15,0
19100,225.45,0.07839518601,15,0
19150,225.45,0.07899401044,15,0
19200,225.45,0.07959740739,15,0
19250,225.45,0.08020541173,15,0
19300,225.45,0.08081805862,15,0
19350,225.45,0.08143538349,15,0
19400,225.45,0.08205742202,15,0
19450,225.45,0.0826842102,15,0
19500,225.45,0.08331578425,15,0
19550,225.45,0.08395218068,15,0
19600,225.45,0.08459343631,15,0
19650,225.45,0.08523958818,15,0
19700,225.45,0.08589067368,15,0
19750,225.45,0.08654673042,15,0
19800,225.45,0.08720779635,15,0
19850,225.45,0.08787390968,15,0
19900,225.45,0.08854510891,15,0
19950,225.45,0.08922143285,15,0
20000,225.45,0.08990292059,15,0
20050,225.45,0.09058961154,15,0
20100,225.45,0.09128154537,15,0
20150,225.45,0.09197876209,15,0
20200,225.45,0.092681302,15,0
20250,225.45,0.09338920571,15,0
20300,225.45,0.09410251413,15,0
20350,225.45,0.0948212685,15,0
20400,225.45,0.09554551036,15,0
20450,225.45,0.09627528156,15,0
20500,225.45,0.09701062429,15,0
20550,225.45,0.09775158104,15,0
20600,225.45,0.09849819464,15,0
20650,225.45,0.09925050824,15,0
20700,225.45,0.1000085653,15,0
20750,225.45,0.1007724097,15,0
20800,225.45,0.1015420854,15,0
20850,225.45,0.1023176371,15,0
20900,225.45,0.1030991095,15,0
20950,225.45,0.1038865478,15,0
21000,225.45,0.1046799974,15,0
21050,225.45,0.1054795043,15,0
21100,225.45,0.1062851146,15,0
21150,225.45,0.1070968749,15,0
21200,225.45,0.107914832,15,0
21250,225.45,0.1087390333,15,0
21300,225.45,0.1095695264,15,0
21350,225.45,0.1104063592,15,0
21400,225.45,0.11124958,15,0
21450,225.45,0.1120992377,15,0
21500,225.45,0.1129553813,15,0
21550,225.45,0.1138180602,15,0
21600,225.45,0.1146873243,15,0
21650,225.45,0.1155632238,15,0
21700,225.45,0.1164458093,15,0
21750,225.45,0.1173351317,15,0
21800,225.45,0.1182312425,15,0
21850,225.45,0.1191341935,15,0
21900,225.45,0.1200440367,15,0
21950,225.45,0.1209608247,15,0
22000,225.45,0.1218846105,15,0
22050,225.45,0.1228154474,15,0
22100,225.45,0.1237533892,15,0
22150,225.45,0.1246984901,15,0
22200,225.45,0.1256508046,15,0
22250,225.45,0.1266103877,15,0
22300,225.45,0.1275772949,15,0
22350,225.45,0.128551582,15,0
22400,225.45,0.1295333052,15,0
22450,225.45,0.1305225213,15,0
22500,225.45,0.1315192873,15,0
22550,225.45,0.1325236608,15,0
22600,225.45,0.1335356999,15,0
22650,225.45,0.1345554629,15,0
22700,225.45,0.1355830087,15,0
22750,225.45,0.1366183966,15,0
22800,225.45,0.1376616865,15,0
22850,225.45,0.1387129385,15,0
22900,225.45,0.1397722134,15,0
22950,225.45,0.1408395722,15,0
23000,225.45,0.1419150767,15,0
23050,225.45,0.1429987888,15,0
23100,225.45,0.1440907713,15,0
23150,225.45,0.145191087,15,0
23200,225.45,0.1462997994,15,0
23250,225.45,0.1474169727,15,0
23300,225.45,0.1485426713,15,0
23350,225.45,0.14967696,15,0
23400,225.45,0.1508199045,15,0
23450,225.45,0.1519715706,15,0
23500,225.45,0.1531320249,15,0
23550,225.45,0.1543013343,15,0
23600,225.45,0.1554795662,15,0
23650,225.45,0.1566667887,15,0
23700,225.45,0.1578630702,15,0
23750,225.45,0.1590684799,15,0
23800,225.45,0.1602830872,15,0
23850,225.45,0.1615069622,15,0
23900,225.45,0.1627401755,15,0
23950,225.45,0.1639827983,15,0
24000,225.45,0.1652349023,15,0
24050,225.45,0.1664965597,15,0
24100,225.45,0.1677678433,15,0
24150,225.45,0.1690488264,15,0
24200,225.45,0.170339583,15,0
24250,225.45,0.1716401874,15,0
24300,225.45,0.1729507146,15,0
24350,225.45,0.1742712404,15,0
24400,225.45,0.1756018408,15,0
24450,225.45,0.1769425926,15,0
24500,225.45,0.178293573,15,0
24550,225.45,0.1796548601,15,0
24600,225.45,0.1810265323,15,0
24650,225.45,0.1824086687,15,0
24700,225.45,0.183801349,15,0
24750,225.45,0.1852046535,15,0
24800,225.45,0.1866186632,15,0
24850,225.45,0.1880434595,15,0
24900,225.45,0.1894791246,15,0
24950,225.45,0.1909257412,15,0
25000,225.45,0.1923833928,15,0
25050,225.45,0.1938521635,15,0
25100,225.45,0.1953321377,15,0
25150,225.45,0.196823401,15,0
25200,225.45,0.1983260392,15,0
25250,225.45,0.1998401389,15,0
25300,225.45,0.2013657874,15,0
25350,225.45,0.2029030727,15,0
25400,225.45,0.2044520833,15,0
25450,225.45,0.2060129085,15,0
25500,225.45,0.2075856383,15,0
